Country,FullName,CityName,OblName,City,lang_code
RU,Автополигон,Автополигон,MOS,Автополигон,ru
RU,Автуры,Автуры,CE,Автуры,ru
RU,Авчурино,Авчурино,KLU,Авчурино,ru
RU,Авяк,Авяк,OMS,Авяк,ru
RU,Агалатово,Агалатово,LEN,Агалатово,ru
RU,Аган,Аган,KHM,Аган,ru
RU,Аганино,Аганино,KOS,Аганино,ru
RU,Агаповка,Агаповка,CHE,Агаповка,ru
RU,Агарино,Агарино,MOS,Агарино,ru
RU,Агафоново,Агафоново,MOS,Агафоново,ru
RU,Агвали,Агвали,DA,Агвали,ru
RU,Агдары,Агдары,SA,Агдары,ru
RU,Агеево,Агеево,TUL,Агеево,ru
RU,Агибалово,Агибалово,SMO,Агибалово,ru
RU,Агидель,Агидель,BA,Агидель,ru
RU,Агинское,Агинское,KIA,Агинское,ru
RU,Агинское,Агинское,ZAB,Агинское,ru
RU,Агириш,Агириш,KHM,Агириш,ru
RU,Агишты,Агишты,CE,Агишты,ru
RU,Агой,Агой,KDA,Агой,ru
RU,Агошевка,Агошевка,BEL,Агошевка,ru
RU,Аграрное,Аграрное,CRI,Аграрное,ru
RU,Аграфеновка,Аграфеновка,ROS,Аграфеновка,ru
RU,Агро-Пустынь,Агро-Пустынь,RYA,Агро-Пустынь,ru
RU,Агрогородок,Агрогородок,MOS,Агрогородок,ru
RU,Агроном,Агроном,KDA,Агроном,ru
RU,Агрыз,Агрыз,TA,Агрыз,ru
RU,Агуй-Шапсуг,Агуй-Шапсуг,KDA,Агуй-Шапсуг,ru
RU,Адав-Тулумбаево,Адав-Тулумбаево,TA,Адав-Тулумбаево,ru
RU,Адагум,Адагум,KDA,Адагум,ru
RU,Адамий,Адамий,AD,Адамий,ru
RU,Адамовка,Адамовка,ORE,Адамовка,ru
RU,Аделино,Аделино,RYA,Аделино,ru
RU,Адербиевка,Адербиевка,KDA,Адербиевка,ru
RU,Аджером,Аджером,KO,Аджером,ru
RU,Адиль-Халк,Адиль-Халк,KC,Адиль-Халк,ru
RU,Адиль-Янгиюрт,Адиль-Янгиюрт,DA,Адиль-Янгиюрт,ru
RU,Адильотар,Адильотар,DA,Адильотар,ru
RU,Адлер,Адлер,KDA,Адлер,ru
RU,Адуево,Адуево,KLU,Адуево,ru
RU,Адыге Хабль,Адыге Хабль,KC,Адыге Хабль,ru
RU,Адыгейск,Адыгейск,AD,Адыгейск,ru
RU,Адышево,Адышево,KIR,Адышево,ru
RU,Аев,Аев,OMS,Аев,ru
RU,Азамат-Юрт,Азамат-Юрт,CE,Азамат-Юрт,ru
RU,Азанка,Азанка,SVE,Азанка,ru
RU,Азаново,Азаново,ME,Азаново,ru
RU,Азаровка,Азаровка,TUL,Азаровка,ru
RU,Азиатская,Азиатская,SVE,Азиатская,ru
RU,Азигулово,Азигулово,SVE,Азигулово,ru
RU,Азим-Сирма,Азим-Сирма,CU,Азим-Сирма,ru
RU,Азино,Азино,UD,Азино,ru
RU,Азнакаево,Азнакаево,TA,Азнакаево,ru
RU,Азов,Азов,CRI,Азов,ru
RU,Азов,Азов,ROS,Азов,ru
RU,Азово,Азово,BA,Азово,ru
RU,Азово,Азово,KIR,Азово,ru
RU,Азово,Азово,OMS,Азово,ru
RU,Азово,Азово,PER,Азово,ru
RU,Азово,Азово,PSK,Азово,ru
RU,Азовская,Азовская,KDA,Азовская,ru
RU,Азовский,Азовский,AST,Азовский,ru
RU,Азовское,Азовское,CRI,Азовское,ru
RU,Азовское,Азовское,KGD,Азовское,ru
RU,Азовы,Азовы,YAN,Азовы,ru
RU,Азъял,Азъял,ME,Азъял,ru
RU,Азяково,Азяково,BA,Азяково,ru
RU,Аибга,Аибга,KDA,Аибга,ru
RU,Аитово,Аитово,BA,Аитово,ru
RU,Айбуляк,Айбуляк,BA,Айбуляк,ru
RU,Айвазовское,Айвазовское,CRI,Айвазовское,ru
RU,Айвовое,Айвовое,CRI,Айвовое,ru
RU,Айгурский,Айгурский,STA,Айгурский,ru
RU,Айдар,Айдар,BEL,Айдар,ru
RU,Айдарово,Айдарово,TA,Айдарово,ru
RU,Айдарово,Айдарово,VOR,Айдарово,ru
RU,Айкаван,Айкаван,CRI,Айкаван,ru
RU,Айкино,Айкино,KO,Айкино,ru
RU,Айлино,Айлино,CHE,Айлино,ru
RU,Аймаумахи,Аймаумахи,DA,Аймаумахи,ru
RU,Айтуар,Айтуар,ORE,Айтуар,ru
RU,Айхал,Айхал,SA,Айхал,ru
RU,Айша,Айша,TA,Айша,ru
RU,Ак-Довурак,Ак-Довурак,TY,Ак-Довурак,ru
RU,Академгородок,Академгородок,TOM,Академгородок,ru
RU,Академический,Академический,TVE,Академический,ru
RU,Акатово,Акатово,MOS,Акатово,ru
RU,Акатово,Акатово,SMO,Акатово,ru
RU,Акатьево,Акатьево,MOS,Акатьево,ru
RU,Акация,Акация,KEM,Акация,ru
RU,Акбаш,Акбаш,TA,Акбаш,ru
RU,Акбердино,Акбердино,BA,Акбердино,ru
RU,Акбулак,Акбулак,ORE,Акбулак,ru
RU,Акжарское,Акжарское,ORE,Акжарское,ru
RU,Акимовка,Акимовка,AL,Акимовка,ru
RU,Акимовка,Акимовка,CRI,Акимовка,ru
RU,Акиньшино,Акиньшино,MOW,Акиньшино,ru
RU,Аккермановка,Аккермановка,ORE,Аккермановка,ru
RU,Аккерменка,Аккерменка,KDA,Аккерменка,ru
RU,Акмурун,Акмурун,BA,Акмурун,ru
RU,Акнада,Акнада,DA,Акнада,ru
RU,Акрамово,Акрамово,CU,Акрамово,ru
RU,Акрополис,Акрополис,CRI,Акрополис,ru
RU,Аксаитово,Аксаитово,BA,Аксаитово,ru
RU,Аксай,Аксай,DA,Аксай,ru
RU,Аксай,Аксай,ROS,Аксай,ru
RU,Аксай,Аксай,VGG,Аксай,ru
RU,Аксаково,Аксаково,BA,Аксаково,ru
RU,Аксаково,Аксаково,MOS,Аксаково,ru
RU,Аксаково,Аксаково,ORE,Аксаково,ru
RU,Аксаково село,Аксаково село,BA,Аксаково село,ru
RU,Аксарайский,Аксарайский,AST,Аксарайский,ru
RU,Аксарино,Аксарино,CU,Аксарино,ru
RU,Аксарка,Аксарка,ME,Аксарка,ru
RU,Аксарка,Аксарка,YAN,Аксарка,ru
RU,Аксено-Бутырское,Аксено-Бутырское,MOS,Аксено-Бутырское,ru
RU,Аксеновка,Аксеновка,MO,Аксеновка,ru
RU,Аксеново,Аксеново,BA,Аксеново,ru
RU,Аксеново,Аксеново,MOS,Аксеново,ru
RU,Аксеново,Аксеново,OMS,Аксеново,ru
RU,Аксеново,Аксеново,PSK,Аксеново,ru
RU,Аксеново,Аксеново,TOM,Аксеново,ru
RU,Аксеново,Аксеново,VLA,Аксеново,ru
RU,Аксеново,Аксеново,MO,Аксеново,ru
RU,Аксеново-Зиловское,Аксеново-Зиловское,ZAB,Аксеново-Зиловское,ru
RU,Аксиньино,Аксиньино,MOS,Аксиньино,ru
RU,Аксинькино,Аксинькино,MOS,Аксинькино,ru
RU,Аксу,Аксу,TA,Аксу,ru
RU,Аксубаево,Аксубаево,TA,Аксубаево,ru
RU,Актабан,Актабан,KGN,Актабан,ru
RU,Актаныш,Актаныш,TA,Актаныш,ru
RU,Актау,Актау,BA,Актау,ru
RU,Акташ,Акташ,AL,Акташ,ru
RU,Актыгашево,Актыгашево,KIR,Актыгашево,ru
RU,Актюбинский,Актюбинский,TA,Актюбинский,ru
RU,Акулиновка,Акулиновка,BEL,Акулиновка,ru
RU,Акулово,Акулово,KLU,Акулово,ru
RU,Акулово,Акулово,KOS,Акулово,ru
RU,Акулово,Акулово,MOS,Акулово,ru
RU,Акулово,Акулово,MOW,Акулово,ru
RU,Акулово,Акулово,TVE,Акулово,ru
RU,Акулово д,Акулово д,MOS,Акулово д,ru
RU,Акутиха,Акутиха,ALT,Акутиха,ru
RU,Акуша,Акуша,DA,Акуша,ru
RU,Акчеево,Акчеево,MO,Акчеево,ru
RU,Акчикасы,Акчикасы,CU,Акчикасы,ru
RU,Акша,Акша,ZAB,Акша,ru
RU,Акшики,Акшики,CU,Акшики,ru
RU,Акшуат,Акшуат,ULY,Акшуат,ru
RU,Акъяр,Акъяр,BA,Акъяр,ru
RU,Алабино,Алабино,MOS,Алабино,ru
RU,Алабота,Алабота,OMS,Алабота,ru
RU,Алабуга,Алабуга,CHE,Алабуга,ru
RU,Алабуга,Алабуга,TA,Алабуга,ru
RU,Алабушево,Алабушево,MOS,Алабушево,ru
RU,Алагир,Алагир,SE,Алагир,ru
RU,Аладино,Аладино,MOS,Аладино,ru
RU,Аладьино,Аладьино,MOS,Аладьино,ru
RU,Алак,Алак,DA,Алак,ru
RU,Алакаевка,Алакаевка,SAM,Алакаевка,ru
RU,Алакуртти,Алакуртти,MUR,Алакуртти,ru
RU,Аламбай,Аламбай,ALT,Аламбай,ru
RU,Алан,Алан,TA,Алан,ru
RU,Алапаевск,Алапаевск,SVE,Алапаевск,ru
RU,Аларь,Аларь,IRK,Аларь,ru
RU,Алатту,Алатту,KR,Алатту,ru
RU,Алатырь,Алатырь,CU,Алатырь,ru
RU,Албазино,Албазино,AMU,Албазино,ru
RU,Алгаза,Алгаза,AST,Алгаза,ru
RU,Алгасово,Алгасово,TAM,Алгасово,ru
RU,Алгатуй,Алгатуй,IRK,Алгатуй,ru
RU,Алдабульский,Алдабульский,ROS,Алдабульский,ru
RU,Алдан,Алдан,SA,Алдан,ru
RU,Алдиарово,Алдиарово,CU,Алдиарово,ru
RU,Алегазово,Алегазово,BA,Алегазово,ru
RU,Алеево,Алеево,MOS,Алеево,ru
RU,Алеево,Алеево,RYA,Алеево,ru
RU,Алеево-2,Алеево-2,MOS,Алеево-2,ru
RU,Алейниково,Алейниково,BEL,Алейниково,ru
RU,Алейск,Алейск,ALT,Алейск,ru
RU,Алеканово,Алеканово,RYA,Алеканово,ru
RU,Алекино,Алекино,KLU,Алекино,ru
RU,Александра Космодемьянского пос.,Александра Космодемьянского пос.,KGD,Александра Космодемьянского пос.,ru
RU,Александрия,Александрия,STA,Александрия,ru
RU,Александро-Невский,Александро-Невский,NVS,Александро-Невский,ru
RU,Александро-Невский,Александро-Невский,RYA,Александро-Невский,ru
RU,Александров,Александров,ROS,Александров,ru
RU,Александров,Александров,VLA,Александров,ru
RU,Александров-Гай,Александров-Гай,SAR,Александров-Гай,ru
RU,Александровка,Александровка,AMU,Александровка,ru
RU,Александровка,Александровка,BEL,Александровка,ru
RU,Александровка,Александровка,CHE,Александровка,ru
RU,Александровка,Александровка,CRI,Александровка,ru
RU,Александровка,Александровка,CU,Александровка,ru
RU,Александровка,Александровка,KIA,Александровка,ru
RU,Александровка,Александровка,KLU,Александровка,ru
RU,Александровка,Александровка,MO,Александровка,ru
RU,Александровка,Александровка,MOS,Александровка,ru
RU,Александровка,Александровка,OMS,Александровка,ru
RU,Александровка,Александровка,ORE,Александровка,ru
RU,Александровка,Александровка,PNZ,Александровка,ru
RU,Александровка,Александровка,ROS,Александровка,ru
RU,Александровка,Александровка,SAM,Александровка,ru
RU,Александровка,Александровка,SAR,Александровка,ru
RU,Александровка,Александровка,SMO,Александровка,ru
RU,Александровка,Александровка,TA,Александровка,ru
RU,Александровка,Александровка,TUL,Александровка,ru
RU,Александровка,Александровка,TYU,Александровка,ru
RU,Александровка,Александровка,ULY,Александровка,ru
RU,Александровка,Александровка,VGG,Александровка,ru
RU,Александровка,Александровка,VLA,Александровка,ru
RU,Александровка,Александровка,VOR,Александровка,ru
RU,Александровка 3-я,Александровка 3-я,SAR,Александровка 3-я,ru
RU,Александровка д.,Александровка д.,LEN,Александровка д.,ru
RU,Александровка Хутор,Александровка Хутор,ROS,Александровка Хутор,ru
RU,Александровка-Донская,Александровка-Донская,VOR,Александровка-Донская,ru
RU,Александрово,Александрово,MOS,Александрово,ru
RU,Александрово,Александрово,PNZ,Александрово,ru
RU,Александрово,Александрово,RYA,Александрово,ru
RU,Александрово,Александрово,UD,Александрово,ru
RU,Александровск,Александровск,PER,Александровск,ru
RU,Александровск-Сахалинский,Александровск-Сахалинский,SAK,Александровск-Сахалинский,ru
RU,Александровская,Александровская,KB,Александровская,ru
RU,Александровская,Александровская,SPE,Александровская,ru
RU,Александровский,Александровский,KDA,Александровский,ru
RU,Александровский Завод,Александровский Завод,ZAB,Александровский Завод,ru
RU,Александровское,Александровское,OMS,Александровское,ru
RU,Александровское,Александровское,STA,Александровское,ru
RU,Александровское,Александровское,SVE,Александровское,ru
RU,Александровское,Александровское,TOM,Александровское,ru
RU,Александровское,Александровское,IRK,Александровское,ru
RU,Алексеевка,Алексеевка,AL,Алексеевка,ru
RU,Алексеевка,Алексеевка,ALT,Алексеевка,ru
RU,Алексеевка,Алексеевка,AMU,Алексеевка,ru
RU,Алексеевка,Алексеевка,BA,Алексеевка,ru
RU,Алексеевка,Алексеевка,BEL,Алексеевка,ru
RU,Алексеевка,Алексеевка,CHE,Алексеевка,ru
RU,Алексеевка,Алексеевка,CRI,Алексеевка,ru
RU,Алексеевка,Алексеевка,LEN,Алексеевка,ru
RU,Алексеевка,Алексеевка,MO,Алексеевка,ru
RU,Алексеевка,Алексеевка,MOS,Алексеевка,ru
RU,Алексеевка,Алексеевка,OMS,Алексеевка,ru
RU,Алексеевка,Алексеевка,ORE,Алексеевка,ru
RU,Алексеевка,Алексеевка,ROS,Алексеевка,ru
RU,Алексеевка,Алексеевка,SAR,Алексеевка,ru
RU,Алексеевка,Алексеевка,TA,Алексеевка,ru
RU,Алексеевка,Алексеевка,TAM,Алексеевка,ru
RU,Алексеевка пос.,Алексеевка пос.,SAM,Алексеевка пос.,ru
RU,Алексеевка с.,Алексеевка с.,SAM,Алексеевка с.,ru
RU,Алексеево-Лозовское,Алексеево-Лозовское,ROS,Алексеево-Лозовское,ru
RU,Алексеево-Тузловка,Алексеево-Тузловка,ROS,Алексеево-Тузловка,ru
RU,Алексеевск,Алексеевск,IRK,Алексеевск,ru
RU,Алексеевская,Алексеевская,KDA,Алексеевская,ru
RU,Алексеевская,Алексеевская,VGG,Алексеевская,ru
RU,Алексеевский,Алексеевский,OMS,Алексеевский,ru
RU,Алексеевский,Алексеевский,ROS,Алексеевский,ru
RU,Алексеевское,Алексеевское,STA,Алексеевское,ru
RU,Алексеевское,Алексеевское,TA,Алексеевское,ru
RU,Алексеевское,Алексеевское,TVE,Алексеевское,ru
RU,Алексеенково,Алексеенково,BEL,Алексеенково,ru
RU,Алексиковский,Алексиковский,VGG,Алексиковский,ru
RU,Алексин,Алексин,TUL,Алексин,ru
RU,Алексино,Алексино,MOS,Алексино,ru
RU,Алексино,Алексино,SMO,Алексино,ru
RU,Алесейково,Алесейково,MOS,Алесейково,ru
RU,Алеур,Алеур,ZAB,Алеур,ru
RU,Алехино,Алехино,IRK,Алехино,ru
RU,Алехново,Алехново,MOS,Алехново,ru
RU,Алешенка,Алешенка,BRY,Алешенка,ru
RU,Алешинка,Алешинка,BRY,Алешинка,ru
RU,Алешино,Алешино,RYA,Алешино,ru
RU,Алешкин Хутор,Алешкин Хутор,VGG,Алешкин Хутор,ru
RU,Алешкин-Саплык,Алешкин-Саплык,TA,Алешкин-Саплык,ru
RU,Алешково,Алешково,NIZ,Алешково,ru
RU,Алешня,Алешня,TUL,Алешня,ru
RU,Алзамай,Алзамай,IRK,Алзамай,ru
RU,Али-Бердуковский,Али-Бердуковский,KC,Али-Бердуковский,ru
RU,Али-Юрт,Али-Юрт,IN,Али-Юрт,ru
RU,Аликово,Аликово,CU,Аликово,ru
RU,Алисовка,Алисовка,BEL,Алисовка,ru
RU,Алкадар,Алкадар,DA,Алкадар,ru
RU,Алкино-2,Алкино-2,BA,Алкино-2,ru
RU,Алкужи,Алкужи,TAM,Алкужи,ru
RU,Аллагулово,Аллагулово,ULY,Аллагулово,ru
RU,Аллак,Аллак,ALT,Аллак,ru
RU,Аллерой,Аллерой,CE,Аллерой,ru
RU,Алмаз,Алмаз,ROS,Алмаз,ru
RU,Алмазный,Алмазный,SA,Алмазный,ru
RU,Алнаши,Алнаши,UD,Алнаши,ru
RU,Алово,Алово,MO,Алово,ru
RU,Алонка,Алонка,KHA,Алонка,ru
RU,Алпатово,Алпатово,CE,Алпатово,ru
RU,Алпатьево,Алпатьево,MOS,Алпатьево,ru
RU,Алпеевка,Алпеевка,BEL,Алпеевка,ru
RU,Алтай,Алтай,KHM,Алтай,ru
RU,Алтайское,Алтайское,ALT,Алтайское,ru
RU,Алтамаш,Алтамаш,KEM,Алтамаш,ru
RU,Алтарик,Алтарик,IRK,Алтарик,ru
RU,Алтуд,Алтуд,KB,Алтуд,ru
RU,Алтухов Хутор,Алтухов Хутор,STA,Алтухов Хутор,ru
RU,Алтухово,Алтухово,BRY,Алтухово,ru
RU,Алтухово,Алтухово,SAM,Алтухово,ru
RU,Алтынай,Алтынай,SVE,Алтынай,ru
RU,Алтышево,Алтышево,CU,Алтышево,ru
RU,Алтышево-Люльский,Алтышево-Люльский,CU,Алтышево-Люльский,ru
RU,Алупка,Алупка,CRI,Алупка,ru
RU,Алушта,Алушта,CRI,Алушта,ru
RU,Алферовка,Алферовка,VOR,Алферовка,ru
RU,Алферово,Алферово,ARK,Алферово,ru
RU,Алферовская,Алферовская,ARK,Алферовская,ru
RU,Алферовская,Алферовская,VLG,Алферовская,ru
RU,Алферьевка,Алферьевка,PNZ,Алферьевка,ru
RU,Алферьево,Алферьево,MOS,Алферьево,ru
RU,Алфимово,Алфимово,MOS,Алфимово,ru
RU,Алхаджикент,Алхаджикент,DA,Алхаджикент,ru
RU,Алхазурово,Алхазурово,CE,Алхазурово,ru
RU,Алхан-Кала,Алхан-Кала,CE,Алхан-Кала,ru
RU,Алханай,Алханай,ZAB,Алханай,ru
RU,Алхасты,Алхасты,IN,Алхасты,ru
RU,Алхимово,Алхимово,MOS,Алхимово,ru
RU,Алчедат,Алчедат,KEM,Алчедат,ru
RU,Алыгджер,Алыгджер,IRK,Алыгджер,ru
RU,Алыкель,Алыкель,KIA,Алыкель,ru
RU,Алымка,Алымка,TYU,Алымка,ru
RU,Алымовка,Алымовка,MOW,Алымовка,ru
RU,Альдермыш,Альдермыш,TA,Альдермыш,ru
RU,Алькеево,Алькеево,TA,Алькеево,ru
RU,Алькино,Алькино,SAM,Алькино,ru
RU,Альменево,Альменево,KGN,Альменево,ru
RU,Альметьевск,Альметьевск,TA,Альметьевск,ru
RU,Альтмец,Альтмец,KDA,Альтмец,ru
RU,Альшанка,Альшанка,SAR,Альшанка,ru
RU,Алябьевский,Алябьевский,KHM,Алябьевский,ru
RU,Алябьевский,Алябьевский,TVE,Алябьевский,ru
RU,Амазар,Амазар,ZAB,Амазар,ru
RU,Амаранка,Амаранка,AMU,Амаранка,ru
RU,Амбарный,Амбарный,KR,Амбарный,ru
RU,Амга,Амга,SA,Амга,ru
RU,Амгу,Амгу,PRI,Амгу,ru
RU,Амгунь,Амгунь,KHA,Амгунь,ru
RU,Амдерма,Амдерма,NEN,Амдерма,ru
RU,Амзя,Амзя,BA,Амзя,ru
RU,Аминево,Аминево,CHE,Аминево,ru
RU,Аминькай,Аминькай,PER,Аминькай,ru
RU,Амурзет,Амурзет,YEV,Амурзет,ru
RU,Амурск,Амурск,KHA,Амурск,ru
RU,Амурский,Амурский,CHE,Амурский,ru
RU,Амурское,Амурское,AMU,Амурское,ru
RU,Амурское,Амурское,CRI,Амурское,ru
RU,Ана-Юрт,Ана-Юрт,CRI,Ана-Юрт,ru
RU,Анавгай,Анавгай,KAM,Анавгай,ru
RU,Анадырь,Анадырь,CHU,Анадырь,ru
RU,Ананьевский,Ананьевский,KDA,Ананьевский,ru
RU,Ананьино,Ананьино,MOS,Ананьино,ru
RU,Ананьино,Ананьино,VLG,Ананьино,ru
RU,Ананьино,Ананьино,YAR,Ананьино,ru
RU,Анапа,Анапа,KDA,Анапа,ru
RU,Анапская,Анапская,KDA,Анапская,ru
RU,Анапский,Анапский,KDA,Анапский,ru
RU,Анастасиевка,Анастасиевка,ROS,Анастасиевка,ru
RU,Анастасиевская,Анастасиевская,KDA,Анастасиевская,ru
RU,Анастасово,Анастасово,CU,Анастасово,ru
RU,Анастасьевка,Анастасьевка,KHA,Анастасьевка,ru
RU,Анатыш,Анатыш,TA,Анатыш,ru
RU,Анахина,Анахина,KRS,Анахина,ru
RU,Анаш,Анаш,KIA,Анаш,ru
RU,Анашкино,Анашкино,ARK,Анашкино,ru
RU,Анга,Анга,IRK,Анга,ru
RU,Ангарск,Ангарск,IRK,Ангарск,ru
RU,Ангарский,Ангарский,KIA,Ангарский,ru
RU,Ангасолка,Ангасолка,IRK,Ангасолка,ru
RU,Ангасяк,Ангасяк,BA,Ангасяк,ru
RU,Ангелово,Ангелово,MOS,Ангелово,ru
RU,Ангоя,Ангоя,BU,Ангоя,ru
RU,Андег,Андег,NEN,Андег,ru
RU,Анджиевский,Анджиевский,STA,Анджиевский,ru
RU,Анди,Анди,DA,Анди,ru
RU,Андомский Погост,Андомский Погост,VLG,Андомский Погост,ru
RU,Андра,Андра,KHM,Андра,ru
RU,Андреаполь,Андреаполь,TVE,Андреаполь,ru
RU,Андреевка,Андреевка,BA,Андреевка,ru
RU,Андреевка,Андреевка,BEL,Андреевка,ru
RU,Андреевка,Андреевка,CRI,Андреевка,ru
RU,Андреевка,Андреевка,CU,Андреевка,ru
RU,Андреевка,Андреевка,KEM,Андреевка,ru
RU,Андреевка,Андреевка,MO,Андреевка,ru
RU,Андреевка,Андреевка,MOS,Андреевка,ru
RU,Андреевка,Андреевка,OMS,Андреевка,ru
RU,Андреевка,Андреевка,ORE,Андреевка,ru
RU,Андреевка,Андреевка,PER,Андреевка,ru
RU,Андреевка,Андреевка,PNZ,Андреевка,ru
RU,Андреевка,Андреевка,SAM,Андреевка,ru
RU,Андреевка,Андреевка,SAR,Андреевка,ru
RU,Андреевка,Андреевка,ULY,Андреевка,ru
RU,Андреевка (Прелестненское с/п),Андреевка (Прелестненское с/п),BEL,Андреевка (Прелестненское с/п),ru
RU,Андреево,Андреево,NIZ,Андреево,ru
RU,Андреево,Андреево,VLA,Андреево,ru
